cramoisi | rouge foncé | crimson
bridgeur | personne qui joue au bridge | bridge player
député | représentant politique élu | member of parliament
marchand | personne qui vend | merchant
vif | rapide, vivant | lively, brisk
farceur | qui aime plaisanter | joker
malgré | en opposition à | despite
racé | élégant, distingué | refined
préciosité | recherche excessive de raffinement | affectation
cabine | petite pièce fermée | cabin
horloge | instrument pour mesurer le temps | clock
pencher | incliner | to lean
jetée | construction qui avance dans la mer | pier
demeure | grande maison | residence
percée | ouverture, passage | breakthrough
impassible | sans montrer d’émotion | impassive
mêler | mélanger | to mix
futile | sans importance | trivial
épaule | partie du corps | shoulder
hausser | lever (épaules, voix) | to raise
bouger | se déplacer | to move
trèfle | symbole ou plante | club / clover
dérobée | cachée | hidden
saisir | prendre rapidement ; comprendre | to grab
vol | action de voler | theft
insu | sans que l’on sache | without knowing
ardent | très intense | intense
maître | personne qui commande ou enseigne | master
nerfs | ce qui contrôle les sensations | nerves
paraître | sembler | to seem
précédent | qui vient avant | previous
fût | forme du verbe être (passé simple) | was
choquer | surprendre négativement | to shock
atelier | lieu de travail | workshop
voilier | bateau à voile | sailboat
étaler | mettre largement | to spread out
passeur | personne qui fait traverser | ferryman
rentrer | revenir | to return
amarrer | attacher un bateau | to moor
seuil | entrée d’une porte | threshold
comptoir | table de magasin ou bar | counter
cirée | manteau imperméable | raincoat
toile | tissu ; tissu de peinture | canvas
vêtu | habillé | dressed
bottes | chaussures hautes | boots
caoutchouc | matière élastique | rubber
rabattre | replier vers le bas | to fold down
cuisses | parties hautes des jambes | thighs
goût | sensation ; préférence | taste
couvert | recouvert ; ustensile | covered / cutlery
quai | bord d’un port | quay
grouiller | être en grand nombre | to swarm
atteindre | arriver à | to reach
remonter | aller vers le haut | to go back up
