avoués | choses dites clairement, confessions | admissions, confessions
inégaux | pas de la même taille ou du même niveau | uneven, unequal
grêle | très mince, maigre | thin, slender
soupirer | respirer profondément (fatigue, tristesse) | to sigh
onctueux | trop doux, mielleux | smooth, oily
rougir | devenir rouge par émotion | to blush
boire | prendre une boisson | to drink
emmener | conduire quelqu’un avec soi | to take along
retenir | empêcher de partir | to hold back
don | capacité naturelle | gift, talent
chiffonné | froissé, pas lisse | crumpled
tarabuster | déranger sans arrêt | to pester
égarer | faire perdre | to misplace
rechigner | hésiter, ne pas vouloir | to be reluctant
commissaire | chef de la police | police commissioner
enquête | recherche de la vérité | investigation
observer | regarder attentivement | to observe
remarquer | voir et noter | to notice
silence | absence de bruit | silence
gêne | malaise, embarras | discomfort
regard | manière de regarder | gaze
attitude | comportement | attitude
conversation | discussion | conversation
interrompre | arrêter quelqu’un qui parle | to interrupt
malaise | sentiment d’inquiétude | uneasiness
plage | bord de la mer | beach
se taire | arrêter de parler | to be silent
couple | deux personnes ensemble | couple
impression | sentiment ressenti | impression
inquiet | pas tranquille | worried
étrange | bizarre | strange
atmosphère | ambiance | atmosphere
pension | maison pour loger | boarding house
vacancier | personne en vacances | holidaymaker
chambre | pièce pour dormir | bedroom
couloir | passage | corridor
escalier | marches | staircase
valise | sac de voyage | suitcase
habitude | chose répétée | habit
répondre | donner une réponse | to answer
poser | mettre, placer | to put
attendre | rester jusqu’à | to wait
revenir | retourner | to come back
partir | quitter un lieu | to leave
arriver | venir à un endroit | to arrive
s'asseoir | prendre place | to sit down
se lever | se mettre debout | to stand up
fumer | utiliser une pipe/cigarette | to smoke
pipe | objet pour fumer | pipe
boisson | liquide à boire | drink
verre | récipient pour boire | glass
table | meuble | table
chaise | siège | chair
repas | moment pour manger | meal
matin | début du jour | morning
soir | fin du jour | evening
nuit | période sombre | night
penser | avoir une idée | to think
croire | penser que c’est vrai | to believe
comprendre | saisir le sens | to understand
expliquer | rendre clair | to explain
écouter | faire attention aux sons | to listen
parler | dire des mots | to speak
question | chose qu’on demande | question
réponse | ce qu’on dit après | answer
souvenir | chose du passé | memory
secret | chose cachée | secret
peur | sentiment de crainte | fear
calme | tranquille | calm
lent | pas rapide | slow
rapide | pas lent | fast
